year,temperature,precipitation,elevation,slope,nightlight,population_density,road_density,mining_density,forest_area_percent,cropland_area_percent,impervious_area_percent,VHI,h3_index,latitude,longitude
2001,18.998989683765103,1598.251306216405,179.0528421283184,7.976571431882139,5.969042002740288,2880.953011757417,0.3640459948265843,0.0,18.16387755102041,70.72367346938776,11.112857142857145,0.2457470707437555,8541a8a7fffffff,25.37848979200657,114.89511658428783
2002,19.318634877137807,1594.966513698165,179.0528421283184,7.976571431882139,7.993151058659626,2997.1725846531726,0.3640459948265843,0.0,18.449795918367347,70.3273469387755,11.22326530612245,0.2357277648881405,8541a8a7fffffff,25.37848979200657,114.89511658428783
2003,19.70492215607589,1055.1654458482135,179.0528421283184,7.976571431882139,8.424185438732751,3109.819034016022,0.3640459948265843,0.0,18.471632653061224,69.60510204081633,11.923469387755102,0.2220700818493995,8541a8a7fffffff,25.37848979200657,114.89511658428783
2004,19.68905712558915,1165.2377347656677,179.0528421283184,7.976571431882139,8.350137307223887,3173.2087202524363,0.3640459948265843,0.0,18.088775510204083,70.65428571428572,11.256938775510203,0.2342030114181831,8541a8a7fffffff,25.37848979200657,114.89511658428783
2005,19.18751453430768,1374.577133495853,179.0528421283184,7.976571431882139,6.327460907716482,3189.683096905492,0.3640459948265843,0.0,18.35591836734694,69.46877551020408,12.175102040816329,0.1788747237854037,8541a8a7fffffff,25.37848979200657,114.89511658428783
2006,19.45470288982472,1524.8580152008597,179.0528421283184,7.976571431882139,7.067094384927796,3231.57297566873,0.3640459948265843,0.0,18.05734693877551,69.8269387755102,12.115714285714288,0.2140744468064273,8541a8a7fffffff,25.37848979200657,114.89511658428783
2007,19.72169752430007,1267.958447674702,179.0528421283184,7.976571431882139,7.937495147649221,3272.0940755801093,0.3640459948265843,0.0,18.05775510204082,69.83714285714285,12.104897959183674,0.2363573086597402,8541a8a7fffffff,25.37848979200657,114.89511658428783
2008,19.015806134866978,1439.8554092111544,179.0528421283184,7.976571431882139,9.153213841456358,3293.1837390509027,0.3640459948265843,0.0,18.02020408163265,69.81979591836735,12.159591836734696,0.2661379177753307,8541a8a7fffffff,25.37848979200657,114.89511658428783
2009,19.94935866620739,1049.7326978582591,179.0528421283184,7.976571431882139,9.524318970864586,3420.9391944999784,0.3640459948265843,0.0,18.21632653061225,69.82897959183673,11.95469387755102,0.2613024126585925,8541a8a7fffffff,25.37848979200657,114.89511658428783
2010,19.21208383571704,1703.0135595059346,179.0528421283184,7.976571431882139,13.145844967793415,3345.1267356351404,0.3640459948265843,0.0,17.692857142857143,69.9734693877551,12.334081632653062,0.2863643275572048,8541a8a7fffffff,25.37848979200657,114.89511658428783
2011,18.881312381732123,1150.5162143541845,179.0528421283184,7.976571431882139,12.09168566502182,3373.7430960306606,0.3640459948265843,0.0,17.937551020408165,69.80795918367347,12.25469387755102,0.3300272270189812,8541a8a7fffffff,25.37848979200657,114.89511658428783
2012,18.83738134549227,1649.9287915002865,179.0528421283184,7.976571431882139,11.88852542144582,3381.5141877210485,0.3640459948265843,0.0,17.24530612244898,69.71816326530612,12.941428571428572,0.3970483150538642,8541a8a7fffffff,25.37848979200657,114.89511658428783
2013,19.45517194393416,1197.5604327757585,179.0528421283184,7.976571431882139,14.465208858920471,3499.054042521628,0.3640459948265843,0.0,16.39612244897959,70.52857142857142,12.980204081632651,0.4692769112155752,8541a8a7fffffff,25.37848979200657,114.89511658428783
2014,20.021983292550324,1162.4836905512957,179.0528421283184,7.976571431882139,11.701819921008626,3538.87260728036,0.3640459948265843,0.0,16.26,69.13857142857142,14.505510204081633,0.3933673561362562,8541a8a7fffffff,25.37848979200657,114.89511658428783
2015,19.54125601971492,1497.0918725498796,179.0528421283184,7.976571431882139,11.797478666321917,3681.3830238905934,0.3640459948265843,0.0,16.50755102040816,68.21836734693878,15.179183673469389,0.4486431396195142,8541a8a7fffffff,25.37848979200657,114.89511658428783
2016,19.540775801252305,1987.714911280399,179.0528421283184,7.976571431882139,11.725439408270262,3742.940411845914,0.3640459948265843,0.0,15.901428571428571,69.90306122448979,14.1,0.4146766334195628,8541a8a7fffffff,25.37848979200657,114.89511658428783
2017,19.676439616606192,1177.429875012178,179.0528421283184,7.976571431882139,15.475921927563796,3780.401375251615,0.3640459948265843,0.0,14.91408163265306,70.68020408163265,14.288367346938776,0.4927215229820387,8541a8a7fffffff,25.37848979200657,114.89511658428783
2018,19.55009895877116,1222.7955489570934,179.0528421283184,7.976571431882139,17.803966479012733,3840.4796817751017,0.3640459948265843,0.0,15.384897959183672,70.92122448979592,13.598367346938776,0.4299833181163837,8541a8a7fffffff,25.37848979200657,114.89511658428783
2019,19.799256219577305,1416.3783816812183,179.0528421283184,7.976571431882139,17.297601966356233,3897.477001484436,0.3640459948265843,0.0,15.356938775510203,72.75265306122449,11.772857142857143,0.4514945113467943,8541a8a7fffffff,25.37848979200657,114.89511658428783
